experiment_id,condition,seed,pressure_mean,pressure_p50,pressure_p90,time_to_silence,identity_entropy,nodes_final,splits_total,prunes_total,status,notes
E1,pure_emergence_baseline,1,0.1808719732141974,0.1446960929813324,0.36638810967758895,2000,0.48435284035357273,2,2,2,ok,No hand-crafted macro roles.
E1,pure_emergence_baseline,2,0.16975219390927843,0.12560292693100641,0.3871117633572645,1824,0.4772899001931114,2,2,2,ok,No hand-crafted macro roles.
E1,pure_emergence_baseline,3,4.885235693730699,4.900432330865496,7.224013791935967,2000,1.0002520988111339,4,2,0,ok,No hand-crafted macro roles.
E1,pure_emergence_baseline,4,0.19434850014284097,0.16905014575881175,0.4189392764184671,2000,0.4787088993063078,2,2,2,ok,No hand-crafted macro roles.
E1,pure_emergence_baseline,5,0.1865827917826695,0.16734740911327026,0.34259713530827024,2000,0.44622572740860555,3,2,1,ok,No hand-crafted macro roles.
E1,pure_emergence_baseline,6,0.1751889330175543,0.13424961340300956,0.3759446870970639,2000,0.4570787535273735,2,1,1,ok,No hand-crafted macro roles.
E1,pure_emergence_baseline,7,0.18814929246723364,0.1447930869248859,0.42475207151177524,2000,0.5384068185040642,3,2,1,ok,No hand-crafted macro roles.
E1,pure_emergence_baseline,8,4.192402615473263,4.31567713889414,5.60446802934645,2000,0.5541391903280182,4,2,0,ok,No hand-crafted macro roles.
E1,pure_emergence_baseline,9,0.1741567958015684,0.136961846155839,0.3822549697935761,2000,0.47586767050041306,2,1,1,ok,No hand-crafted macro roles.
E1,pure_emergence_baseline,10,0.18232186855640026,0.15405888936393206,0.36576944271900497,2000,0.507817067263791,3,2,1,ok,No hand-crafted macro roles.
E1,pure_emergence_baseline,11,0.18532632657437956,0.14873642349054098,0.42932915310146946,2000,0.5037123000817902,2,1,1,ok,No hand-crafted macro roles.
E1,pure_emergence_baseline,12,0.18698704953147102,0.15295576881280237,0.3812458409778799,2000,0.4566735926773313,3,2,1,ok,No hand-crafted macro roles.
E1,pure_emergence_baseline,13,2.896318409812974,2.8456955725866275,4.247651575301585,2000,0.45171667590188747,4,2,0,ok,No hand-crafted macro roles.
E1,pure_emergence_baseline,14,0.1846208324023255,0.1558564855864623,0.35010054879755914,2000,0.4497000263742774,2,2,2,ok,No hand-crafted macro roles.
E1,pure_emergence_baseline,15,3.1997651789025423,3.0265262517982134,5.101220053361481,2000,0.5839609640804972,4,2,0,ok,No hand-crafted macro roles.
E1,pure_emergence_baseline,16,0.2044477128551799,0.18085450390548513,0.38750049364689815,2000,0.6564759713886521,3,2,1,ok,No hand-crafted macro roles.
E1,pure_emergence_baseline,17,3.323859426641016,3.19790093655486,4.891309029733816,2000,0.5105476810402099,4,2,0,ok,No hand-crafted macro roles.
E1,pure_emergence_baseline,18,3.1552942288658854,3.0719126508302375,4.6261593132828915,2000,0.46511204423258146,4,2,0,ok,No hand-crafted macro roles.
E1,pure_emergence_baseline,19,0.17374683787227163,0.1188640390842924,0.4222848730414004,2000,0.4884231137617171,3,2,1,ok,No hand-crafted macro roles.
E1,pure_emergence_baseline,20,0.2168130597608763,0.19657026058181634,0.36730182494710945,2000,0.6306052510009168,3,2,1,ok,No hand-crafted macro roles.
E1,pure_emergence_baseline,21,0.1944187739603501,0.1618544155970081,0.4070379338409949,2000,0.494108197439164,2,2,2,ok,No hand-crafted macro roles.
E1,pure_emergence_baseline,22,0.17875853400535066,0.12905510089864475,0.3625168134108952,2000,0.49548938157533795,2,2,2,ok,No hand-crafted macro roles.
E1,pure_emergence_baseline,23,3.366851077132666,3.3774934554315075,5.2143677185866855,2000,0.5528633946894566,4,2,0,ok,No hand-crafted macro roles.
E1,pure_emergence_baseline,24,3.239004276981621,3.3837137445315526,4.803627596679706,2000,0.4981002080959648,4,2,0,ok,No hand-crafted macro roles.
E1,pure_emergence_baseline,25,3.3087983109638914,3.192831826918603,4.622584646870098,2000,0.5386476428562463,4,2,0,ok,No hand-crafted macro roles.
E1,pure_emergence_baseline,26,0.17154407623773948,0.10137594404297218,0.4036566340261383,2000,0.4614648357064299,2,2,2,ok,No hand-crafted macro roles.
E1,pure_emergence_baseline,27,0.18289773738407022,0.14234035188662345,0.419397216506712,2000,0.4541376239568047,2,2,2,ok,No hand-crafted macro roles.
E1,pure_emergence_baseline,28,0.17686421517343148,0.1340789376112685,0.4136344012524323,2000,0.4614648357064299,2,2,2,ok,No hand-crafted macro roles.
E1,pure_emergence_baseline,29,3.509850364439863,3.5590425180919207,4.48553622210289,2000,0.735012587234601,4,2,0,ok,No hand-crafted macro roles.
E1,pure_emergence_baseline,30,0.16765389111739074,0.1278528219039721,0.35195043229868217,2000,0.5224817158216372,2,2,2,ok,No hand-crafted macro roles.
E2,guided_scaffold_baseline,1,0.17531149485014405,0.13791920874058894,0.36925587063876397,2000,0.0,1,0,0,ok,Fixed good architecture baseline reference.
E2,guided_scaffold_baseline,2,0.17076775327278598,0.1232470524681067,0.38364724232442654,2000,0.0,1,0,0,ok,Fixed good architecture baseline reference.
E2,guided_scaffold_baseline,3,4.887422776152818,4.891827581015023,6.909169143975524,2000,0.0,1,0,0,ok,Fixed good architecture baseline reference.
E2,guided_scaffold_baseline,4,0.19354817889240727,0.17357799627199808,0.4249349132090288,2000,0.0,1,0,0,ok,Fixed good architecture baseline reference.
E2,guided_scaffold_baseline,5,0.18264603021452205,0.1500112936845478,0.3385904009717103,2000,0.0,1,0,0,ok,Fixed good architecture baseline reference.
E2,guided_scaffold_baseline,6,0.16985835010732683,0.12743123392547326,0.36626292008135397,2000,0.0,1,0,0,ok,Fixed good architecture baseline reference.
E2,guided_scaffold_baseline,7,0.17237652020756195,0.11665474844807916,0.41990053262591104,2000,0.0,1,0,0,ok,Fixed good architecture baseline reference.
E2,guided_scaffold_baseline,8,5.670944823671497,5.7732097187107,6.928939166498969,2000,0.0,1,0,0,ok,Fixed good architecture baseline reference.
E2,guided_scaffold_baseline,9,0.1694704831100118,0.12243198328632085,0.3822154367298757,2000,0.0,1,0,0,ok,Fixed good architecture baseline reference.
E2,guided_scaffold_baseline,10,0.1734624396026418,0.13317071364572616,0.3682216295005404,2000,0.0,1,0,0,ok,Fixed good architecture baseline reference.
